Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2024-05-01 14:03:00,MCL,BUY,78.99,78.99,,,,PM_Fade_L,,PM_Fade_L|Rng:0.88|A5:0.17|RV:1.61,CLOSED_WIN,480,480,,,,,,2.35,374843.0,74.0,4245406.0,2.61,MCL
2024-05-14 10:16:00,MCL,SELL,78.53,78.53,,,,Pit_Brk_S,,Pit_Brk_S|Rng:0.76|A5:0.2|RV:0.68,CLOSED_WIN,630,630,,,,,,1.53,237632.0,74.26,4153584.0,1.28,MCL
2024-06-03 14:14:00,MCL,BUY,74.05,74.05,,,,PM_Fade_L,,PM_Fade_L|Rng:0.67|A5:0.15|RV:0.91,CLOSED_WIN,135,135,,,,,,1.13,20334.0,74.41,3817652.0,-3.46,MCL
2024-07-30 10:22:00,MCL,SELL,74.95,74.95,,,,Pit_Brk_S,,Pit_Brk_S|Rng:0.93|A5:0.21|RV:1.09,CLOSED_LOSS,-105,-105,,,,,,2.34,335421.0,74.54,2125882.0,-0.1,MCL
2024-07-31 04:32:00,MCL,BUY,76.4,76.4,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.48|A5:0.11|RV:2.2,CLOSED_WIN,630,630,,,,,,1.38,406366.0,74.55,2177156.0,4.28,MCL
2024-08-02 09:27:00,MCL,SELL,74.42,74.42,,,,Pit_Brk_S,,Pit_Brk_S|Rng:2.85|A5:0.27|RV:1.68,CLOSED_WIN,630,630,,,,,,,,,,,MCL
2024-08-04 21:33:00,MCL,SELL,73.63,73.63,,,,Asia_Brk_S,,Asia_Brk_S|Rng:2.85|A5:0.21|RV:0.49,CLOSED_WIN,630,630,,,,,,2.64,349501.0,74.51,2268850.0,-1.5,MCL
2024-08-07 05:29:00,MCL,BUY,73.77,73.77,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.75|A5:0.14|RV:4.31,CLOSED_WIN,630,630,,,,,,2.06,322253.0,74.41,2405734.0,0.38,MCL
2024-08-20 06:52:00,MCL,BUY,73.92,73.92,,,,Lon_Brk_L,,Lon_Brk_L|Rng:1.41|A5:0.13|RV:0.48,CLOSED_WIN,630,630,,,,,,3.18,60350.0,74.36,2485106.0,-0.72,MCL
2024-09-03 09:04:00,MCL,SELL,71.66,71.66,,,,Pit_Brk_S,,Pit_Brk_S|Rng:2.57|A5:0.22|RV:1.32,CLOSED_WIN,630,630,,,,,,2.86,388888.0,74.46,2639816.0,-0.16,MCL
