Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,A5,RV,Vw,NKD,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist
2023-06-29 08:57,MNQ_NIGHT,SELL,15131.75,15131.75,0.0,15,,P6_S,16.0,"{""A5"": 14.03, ""RV"": 1.44, ""Vw"": -0.2, ""NKD"": -1.0}",CLOSED_WIN,607.5,607.5,14.03,1.44,-0.2,-1.0,40.5,,,,,,
2023-07-06 01:43,MNQ_NIGHT,BUY,15280.75,15280.75,0.0,15,,Frank_L,21.0,"{""A5"": 6.32, ""RV"": 0.7, ""Vw"": -0.27, ""NKD"": -1.0}",CLOSED_WIN,1215.0,607.5,6.32,0.7,-0.27,-1.0,40.5,,,,,,
2023-07-10 02:04,MNQ_NIGHT,BUY,15089.25,15089.25,0.0,15,,Judas_L,68.0,"{""A5"": 8.81, ""RV"": 1.0, ""Vw"": -0.37, ""NKD"": 0.0}",CLOSED_WIN,1822.5,607.5,8.81,1.0,-0.37,0.0,40.5,,,,,,
2023-07-20 08:40,MNQ_NIGHT,SELL,15839.0,15839.0,0.0,15,,Pre_Brk_S,5.0,"{""A5"": 9.38, ""RV"": 3.57, ""Vw"": -0.12, ""NKD"": -1.0}",CLOSED_WIN,2430.0,607.5,9.38,3.57,-0.12,-1.0,40.5,,,,,,
2023-07-28 01:56,MNQ_NIGHT,BUY,15641.75,15641.75,0.0,15,,AsianGrind_L,76.0,"{""A5"": 13.31, ""RV"": 1.46, ""Vw"": 0.21, ""NKD"": 1.0}",CLOSED_WIN,3037.5,607.5,13.31,1.46,0.21,1.0,40.5,,,,,,
2023-08-02 08:37,MNQ_NIGHT,SELL,15671.75,15671.75,0.0,15,,P6_S,49.0,"{""A5"": 13.73, ""RV"": 1.82, ""Vw"": -0.13, ""NKD"": -1.0}",CLOSED_LOSS,2977.5,-60.0,13.73,1.82,-0.13,-1.0,-4.0,,,,,,
2023-08-08 02:03,MNQ_NIGHT,BUY,15413.75,15413.75,0.0,15,,Judas_L,113.0,"{""A5"": 6.66, ""RV"": 1.38, ""Vw"": -0.24, ""NKD"": 1.0}",CLOSED_WIN,3585.0,607.5,6.66,1.38,-0.24,1.0,40.5,,,,,,
2023-08-15 04:02,MNQ_NIGHT,BUY,15197.0,15197.0,0.0,15,,Pre_Rev_L,35.0,"{""A5"": 13.94, ""RV"": 0.99, ""Vw"": -0.58, ""NKD"": -1.0}",CLOSED_WIN,4192.5,607.5,13.94,0.99,-0.58,-1.0,40.5,,,,,,
2023-08-21 02:02,MNQ_NIGHT,BUY,14729.0,14729.0,0.0,15,,Judas_L,60.0,"{""A5"": 6.29, ""RV"": 1.45, ""Vw"": -0.24, ""NKD"": -1.0}",CLOSED_WIN,4800.0,607.5,6.29,1.45,-0.24,-1.0,40.5,,,,,,
2023-09-05 04:15,MNQ_NIGHT,BUY,15432.75,15432.75,0.0,15,,Pre_Rev_L,39.0,"{""A5"": 12.09, ""RV"": 1.43, ""Vw"": -0.59, ""NKD"": 1.0}",CLOSED_WIN,5407.5,607.5,12.09,1.43,-0.59,1.0,40.5,,,,,,
2023-09-07 04:30,MNQ_NIGHT,BUY,15277.25,15277.25,0.0,15,,Pre_Rev_L,23.0,"{""A5"": 12.79, ""RV"": 1.4, ""Vw"": -0.45, ""NKD"": -1.0}",CLOSED_WIN,6015.0,607.5,12.79,1.4,-0.45,-1.0,40.5,,,,,,
2023-09-13 08:43,MNQ_NIGHT,SELL,15465.75,15465.75,0.0,15,,P6_S,9.0,"{""A5"": 21.25, ""RV"": 1.38, ""Vw"": -0.11, ""NKD"": 0.0}",CLOSED_LOSS,4995.0,-1020.0,21.25,1.38,-0.11,0.0,-68.0,,,,,,
2023-09-28 08:01,MNQ_NIGHT,SELL,14705.0,14705.0,0.0,15,,Pre_Brk_S,17.0,"{""A5"": 13.14, ""RV"": 1.26, ""Vw"": -0.21, ""NKD"": -1.0}",CLOSED_LOSS,3975.0,-1020.0,13.14,1.26,-0.21,-1.0,-68.0,,,,,,
2023-09-29 04:30,MNQ_NIGHT,SELL,14960.5,14960.5,0.0,15,,Pre_Rev_S,28.0,"{""A5"": 11.36, ""RV"": 1.12, ""Vw"": 0.47, ""NKD"": 0.0}",CLOSED_WIN,4582.5,607.5,11.36,1.12,0.47,0.0,40.5,,,,,,
2023-10-02 02:05,MNQ_NIGHT,BUY,14941.25,14941.25,0.0,15,,Judas_L,29.0,"{""A5"": 6.95, ""RV"": 1.46, ""Vw"": -0.17, ""NKD"": -1.0}",CLOSED_WIN,5190.0,607.5,6.95,1.46,-0.17,-1.0,40.5,,,,,,
2023-10-04 01:55,MNQ_NIGHT,BUY,14645.5,14645.5,0.0,15,,Frank_L,22.0,"{""A5"": 10.48, ""RV"": 1.11, ""Vw"": -0.25, ""NKD"": -1.0}",CLOSED_LOSS,4170.0,-1020.0,10.48,1.11,-0.25,-1.0,-68.0,,,,,,
2023-10-09 08:43,MNQ_NIGHT,SELL,14974.0,14974.0,0.0,15,,P6_S,17.0,"{""A5"": 13.33, ""RV"": 1.14, ""Vw"": -0.2, ""NKD"": -1.0}",CLOSED_LOSS,3150.0,-1020.0,13.33,1.14,-0.2,-1.0,-68.0,,,,,,
2023-10-17 02:21,MNQ_NIGHT,BUY,15264.5,15264.5,0.0,15,,Judas_L,44.0,"{""A5"": 5.48, ""RV"": 1.34, ""Vw"": -0.11, ""NKD"": 1.0}",CLOSED_WIN,3757.5,607.5,5.48,1.34,-0.11,1.0,40.5,,,,,,
2023-10-25 02:16,MNQ_NIGHT,BUY,14765.75,14765.75,0.0,15,,Judas_L,66.0,"{""A5"": 6.16, ""RV"": 1.34, ""Vw"": -0.22, ""NKD"": -1.0}",CLOSED_LOSS,2737.5,-1020.0,6.16,1.34,-0.22,-1.0,-68.0,,,,,,
2023-10-31 01:30,MNQ_NIGHT,BUY,14330.0,14330.0,0.0,15,,Frank_L,70.0,"{""A5"": 8.31, ""RV"": 0.81, ""Vw"": -0.26, ""NKD"": 1.0}",CLOSED_WIN,3345.0,607.5,8.31,0.81,-0.26,1.0,40.5,,,,,,
2023-11-08 02:10,MNQ_NIGHT,BUY,15343.75,15343.75,0.0,15,,Judas_L,72.0,"{""A5"": 5.27, ""RV"": 1.0, ""Vw"": -0.11, ""NKD"": -1.0}",CLOSED_WIN,3952.5,607.5,5.27,1.0,-0.11,-1.0,40.5,,,,,,
2024-01-05 01:45,MNQ_NIGHT,BUY,16404.5,16404.5,0.0,15,,Frank_L,91.0,"{""A5"": 6.17, ""RV"": 1.12, ""Vw"": -0.25, ""NKD"": -1.0}",CLOSED_WIN,4560.0,607.5,6.17,1.12,-0.25,-1.0,40.5,,,,,,
2024-01-11 08:45,MNQ_NIGHT,SELL,16935.25,16935.25,0.0,14,,P6_S,13.0,"{""A5"": 22.31, ""RV"": 1.48, ""Vw"": -0.3, ""NKD"": 0.0}",CLOSED_WIN,5141.0,581.0,22.31,1.48,-0.3,0.0,41.5,,,,,,
2024-01-16 01:07,MNQ_NIGHT,BUY,16869.75,16869.75,0.0,15,,Frank_L,99.0,"{""A5"": 5.84, ""RV"": 0.83, ""Vw"": -0.49, ""NKD"": -1.0}",CLOSED_WIN,5748.5,607.5,5.84,0.83,-0.49,-1.0,40.5,,,,,,
2024-01-17 01:22,MNQ_NIGHT,BUY,16854.75,16854.75,0.0,15,,Frank_L,55.0,"{""A5"": 9.04, ""RV"": 0.73, ""Vw"": -0.39, ""NKD"": -1.0}",CLOSED_LOSS,4728.5,-1020.0,9.04,0.73,-0.39,-1.0,-68.0,,,,,,
2024-02-20 01:06,MNQ_NIGHT,BUY,17686.5,17686.5,0.0,15,,Frank_L,23.0,"{""A5"": 6.16, ""RV"": 0.72, ""Vw"": -0.41, ""NKD"": -1.0}",CLOSED_WIN,5336.0,607.5,6.16,0.72,-0.41,-1.0,40.5,,181.25,225896.0,371.15,44886606.0,13.61
2024-02-21 19:38,MNQ_NIGHT,BUY,17747.5,17747.5,0.0,15,,Tokyo_L,11.0,"{""A5"": 18.26, ""RV"": 1.27, ""Vw"": 0.2, ""NKD"": 1.0}",CLOSED_WIN,5943.5,607.5,18.26,1.27,0.2,1.0,40.5,,141.75,196575.0,371.7,44890316.0,12.99
2024-03-05 08:28,MNQ_NIGHT,SELL,18152.75,18152.75,0.0,15,,Pre_Brk_S,30.0,"{""A5"": 11.66, ""RV"": 1.92, ""Vw"": -0.11, ""NKD"": 1.0}",CLOSED_WIN,6551.0,607.5,11.66,1.92,-0.11,1.0,40.5,,238.75,227344.0,376.81,43586404.0,14.19
2024-03-11 08:02,MNQ_NIGHT,SELL,17970.5,17970.5,0.0,15,,P6_S,7.0,"{""A5"": 16.61, ""RV"": 1.9, ""Vw"": -0.22, ""NKD"": 1.0}",CLOSED_WIN,7158.5,607.5,16.61,1.9,-0.22,1.0,40.5,,170.0,181037.0,378.89,45069030.0,13.91
2024-03-12 08:31,MNQ_NIGHT,SELL,18243.25,18243.25,0.0,15,,Pre_Brk_S,0.0,"{""A5"": 10.71, ""RV"": 16.63, ""Vw"": -0.3, ""NKD"": 1.0}",CLOSED_LOSS,6138.5,-1020.0,10.71,16.63,-0.3,1.0,-68.0,,202.25,115877.0,379.46,45634464.0,15.37
2024-04-03 08:32,MNQ_NIGHT,SELL,18258.75,18258.75,0.0,15,,P6_S,52.0,"{""A5"": 14.19, ""RV"": 1.19, ""Vw"": -0.17, ""NKD"": 0.0}",CLOSED_WIN,6746.0,607.5,14.19,1.19,-0.17,0.0,40.5,,112.5,162607.0,386.1,43895222.0,13.14
2024-04-18 08:46,MNQ_NIGHT,SELL,17668.5,17668.5,0.0,15,,Pre_Brk_S,40.0,"{""A5"": 15.42, ""RV"": 3.38, ""Vw"": -0.25, ""NKD"": 1.0}",CLOSED_LOSS,6371.0,-375.0,15.42,3.38,-0.25,1.0,-25.0,,218.75,220970.0,390.05,45245192.0,7.26
2024-04-19 01:56,MNQ_NIGHT,BUY,17383.0,17383.0,0.0,15,,AsianGrind_L,16.0,"{""A5"": 19.56, ""RV"": 0.77, ""Vw"": 0.27, ""NKD"": 1.0}",CLOSED_WIN,6978.5,607.5,19.56,0.77,0.27,1.0,40.5,,371.5,359195.0,390.28,45995558.0,4.98
2024-04-25 08:40,MNQ_NIGHT,SELL,17399.25,17399.25,0.0,14,,Pre_Brk_S,10.0,"{""A5"": 23.27, ""RV"": 2.4, ""Vw"": -0.38, ""NKD"": -1.0}",CLOSED_WIN,7587.5,609.0,23.27,2.4,-0.38,-1.0,43.5,,216.75,273410.0,391.43,46665480.0,7.14
2024-05-01 19:40,MNQ_NIGHT,BUY,17514.5,17514.5,0.0,15,,Tokyo_L,21.0,"{""A5"": 15.14, ""RV"": 0.77, ""Vw"": 0.07, ""NKD"": 1.0}",CLOSED_WIN,8195.0,607.5,15.14,0.77,0.07,1.0,40.5,,117.0,179056.0,392.44,46189678.0,6.13
2024-06-04 08:04,MNQ_NIGHT,SELL,18583.0,18583.0,0.0,15,,Pre_Brk_S,3.0,"{""A5"": 14.08, ""RV"": 1.84, ""Vw"": -0.06, ""NKD"": 1.0}",CLOSED_WIN,8802.5,607.5,14.08,1.84,-0.06,1.0,40.5,,165.75,157777.0,401.09,39876522.0,11.93
2024-07-02 08:01,MNQ_NIGHT,SELL,19934.25,19934.25,0.0,15,,Pre_Brk_S,64.0,"{""A5"": 11.67, ""RV"": 1.51, ""Vw"": -0.18, ""NKD"": 1.0}",CLOSED_LOSS,7782.5,-1020.0,11.67,1.51,-0.18,1.0,-68.0,,188.0,193225.0,411.16,32879414.0,17.21
2024-07-17 03:23,MNQ_NIGHT,SELL,20412.5,20412.5,0.0,15,,P6_S,18.0,"{""A5"": 15.7, ""RV"": 1.0, ""Vw"": -0.44, ""NKD"": -1.0}",CLOSED_WIN,8390.0,607.5,15.7,1.0,-0.44,-1.0,40.5,,391.5,259285.0,417.83,30316704.0,14.11
