Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2025-11-06 01:48:00,MGC,BUY,3993.4,3993.4,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:2.71|RV:2.82|VwP:0.13|RSI:43.31,CLOSED_WIN,630,630,,,,,,35.6,154208.0,309.32,18286340.0,18.35,MGC
2025-11-06 20:06:00,MGC,BUY,4002.2,4002.2,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:2.91|RV:2.54|VwP:0.19|RSI:74.81,CLOSED_WIN,630,630,,,,,,35.6,154208.0,309.32,18286340.0,18.35,MGC
2025-11-10 07:00:00,MGC,BUY,4094.3,4094.3,,,,Lon_Viper_L,,Lon_Viper_L|Rng:15.7|A5:3.3|RV:3.75|VwP:0.79|RSI:67.06,CLOSED_WIN,630,630,,,,,,56.1,50098.0,310.51,18271616.0,21.86,MGC
2025-11-10 20:03:00,MGC,BUY,4140.1,4140.1,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:3.12|RV:1.92|VwP:0.23|RSI:68.6,CLOSED_LOSS,-735,-735,,,,,,56.1,50098.0,310.51,18271616.0,21.86,MGC
2025-11-12 11:35:00,MGC,SELL,4200.8,4200.8,,,,V2_Rev_S,,V2_Rev_S|Rng:28.9|A5:7.18|RV:1.53|VwP:1.4|RSI:70.09,CLOSED_WIN,630,630,,,,,,50.6,227899.0,311.8,18064560.0,23.8,MGC
2025-11-13 01:03:00,MGC,BUY,4213.2,4213.2,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.83|RV:2.94|VwP:0.22|RSI:38.25,CLOSED_WIN,624,624,,,,,,119.5,281202.0,312.44,18147856.0,22.54,MGC
2025-11-13 20:55:00,MGC,BUY,4194.3,4194.3,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:6.45|RV:2.44|VwP:0.21|RSI:70.15,CLOSED_WIN,630,630,,,,,,119.5,281202.0,312.44,18147856.0,22.54,MGC
2025-11-17 09:01:00,MGC,SELL,4061.9,4061.9,,,,Lon_BO_S_E,,Lon_BO_S_E|Rng:34.7|A5:6.12|RV:2.02|VwP:-0.47|RSI:35.34,CLOSED_LOSS,-940,-940,,,,,,37.1,38907.0,313.59,18024070.0,18.51,MGC
2025-11-18 11:31:00,MGC,SELL,4065.1,4065.1,,,,V2_Rev_S,,V2_Rev_S|Rng:40|A5:8.52|RV:1.16|VwP:0.63|RSI:66.27,CLOSED_WIN,35,35,,,,,,94.6,227763.0,314.17,17747608.0,19.16,MGC
2025-11-19 04:47:00,MGC,BUY,4102.4,4102.4,,,,Lon_Viper_L,,Lon_Viper_L|Rng:26.6|A5:4.32|RV:6.49|VwP:0.56|RSI:78.49,CLOSED_WIN,630,630,,,,,,86.3,206137.0,314.73,17728302.0,19.14,MGC
2025-11-19 22:30:00,MGC,SELL,4075.2,4075.2,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:7.14|RV:0.42|VwP:-0.09|RSI:54.07,CLOSED_WIN,630,630,,,,,,86.3,206137.0,314.73,17728302.0,19.14,MGC
2025-11-21 11:58:00,MGC,SELL,4097.3,4097.3,,,,V2_Rev_S,,V2_Rev_S|Rng:51.5|A5:7.12|RV:1.14|VwP:1|RSI:74.27,CLOSED_WIN,630,630,,,,,,,,,,,MGC
2025-11-24 21:20:00,MGC,BUY,4142.8,4142.8,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:5.12|RV:3.35|VwP:0.26|RSI:71.68,CLOSED_WIN,624,624,,,,,,37.6,30553.0,316.42,17818586.0,20.16,MGC
2025-11-25 20:09:00,MGC,BUY,4179.4,4179.4,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.08|RV:3.09|VwP:0.18|RSI:66.18,CLOSED_WIN,630,630,,,,,,115.6,200803.0,316.98,17784612.0,19.91,MGC
2025-11-27 20:01:00,MGC,BUY,4219.4,4219.4,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:19.2|A5:3.28|RV:3.81|VwP:0.7|RSI:69.29,CLOSED_WIN,630,630,,,,,,,,,,,MGC
2025-12-01 01:47:00,MGC,BUY,4271.3,4271.3,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.77|RV:1.82|VwP:0.09|RSI:69.74,CLOSED_LOSS,-962,-962,,,,,,76.9,53306.0,318.75,17406720.0,22.27,MGC
2025-12-03 11:59:00,MGC,BUY,4232.2,4232.2,,,,V2_Rev_L,,V2_Rev_L|Rng:20|A5:6.48|RV:2.24|VwP:-0.36|RSI:23.31,CLOSED_WIN,630,630,,,,,,95.2,196829.0,319.94,17111126.0,20.92,MGC
2025-12-03 21:22:00,MGC,SELL,4232.0,4232.0,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:3.82|RV:0.48|VwP:-0.16|RSI:37.3,CLOSED_WIN,630,630,,,,,,95.2,196829.0,319.94,17111126.0,20.92,MGC
2025-12-08 00:34:00,MGC,BUY,4242.5,4242.5,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:2.6|RV:5.44|VwP:0.18|RSI:69.58,CLOSED_WIN,630,630,,,,,,37.1,22074.0,321.67,16830714.0,19.82,MGC
2025-12-10 21:58:00,MGC,SELL,4252.6,4252.6,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:4.01|RV:0.4|VwP:-0.28|RSI:36.46,CLOSED_WIN,630,630,,,,,,53.9,166207.0,322.85,16559658.0,20.51,MGC
2025-12-12 04:02:00,MGC,BUY,4342.4,4342.4,,,,Lon_Viper_L,,Lon_Viper_L|Rng:25.5|A5:3.36|RV:1.62|VwP:0.73|RSI:78.65,CLOSED_WIN,630,630,,,,,,,,,,,MGC
2025-12-15 04:33:00,MGC,BUY,4383.5,4383.5,,,,Lon_Viper_L,,Lon_Viper_L|Rng:12.2|A5:3.1|RV:1.87|VwP:0.55|RSI:62.19,CLOSED_LOSS,-735,-735,,,,,,31.3,24895.0,324.78,16423218.0,21.87,MGC
2025-12-17 21:09:00,MGC,SELL,4364.8,4364.8,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:3.4|RV:0.72|VwP:0|RSI:62.01,CLOSED_WIN,630,630,,,,,,70.5,199599.0,326.08,16137778.0,22.45,MGC
2025-12-22 20:26:00,MGC,BUY,4508.2,4508.2,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:5.03|RV:1.33|VwP:0.12|RSI:45.43,CLOSED_WIN,624,624,,,,,,60.9,41423.0,328.08,15138070.0,24.43,MGC
2025-12-24 02:59:00,MGC,SELL,4511.8,4511.8,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:3.69|RV:0.69|VwP:-0.41|RSI:36.65,CLOSED_WIN,630,630,,,,,,,,,,,MGC
2025-12-25 20:01:00,MGC,BUY,4549.4,4549.4,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.93|RV:6.42|VwP:0.38|RSI:75.84,CLOSED_WIN,624,624,,,,,,,,,,,MGC
2025-12-29 20:51:00,MGC,BUY,4369.4,4369.4,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:6.95|RV:1.56|VwP:0.33|RSI:76.92,CLOSED_WIN,630,630,,,,,,81.5,55491.0,330.88,14336538.0,20.47,MGC
2025-12-30 20:07:00,MGC,BUY,4360.9,4360.9,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:6.11|RV:1.56|VwP:0.2|RSI:68.52,CLOSED_WIN,630,630,,,,,,225.4,279232.0,331.5,13299618.0,20.33,MGC
2026-01-01 21:51:00,MGC,BUY,4370.9,4370.9,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.32|RV:3.87|VwP:0.26|RSI:73.29,CLOSED_WIN,630,630,,,,,,,,,,,MGC
2026-01-05 04:22:00,MGC,BUY,4444.8,4444.8,,,,Lon_Viper_L,,Lon_Viper_L|Rng:16|A5:3.84|RV:1.79|VwP:0.82|RSI:72.07,CLOSED_WIN,630,630,,,,,,67.4,45327.0,333.33,11596206.0,22.63,MGC
2026-01-05 22:13:00,MGC,BUY,4475.7,4475.7,,,,Asia_Bullet_L,,Asia_Bullet_L|Rng:NaN|A5:4.85|RV:4.6|VwP:0.42|RSI:76.37,CLOSED_WIN,624,624,,,,,,67.4,45327.0,333.33,11596206.0,22.63,MGC
2026-01-07 20:51:00,MGC,SELL,4455.2,4455.2,,,,Asia_Fade_S,,Asia_Fade_S|Rng:NaN|A5:5.12|RV:0.47|VwP:-0.21|RSI:37.29,CLOSED_WIN,624,624,,,,,,59.9,169341.0,334.64,11501628.0,22.29,MGC
