Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module,Is_Win,Regime_Label,Vw,NKD,Entry_Price,Exit_Price,Regime_Executed,Unified_Regime
2023-08-16 09:45:00,MNQ_DAY,BUY,15096.25,15096.25,0.0,15.0,,AE_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-17 13:54:00,MNQ_DAY,BUY,14884.5,14884.5,0.0,15.0,,Box_L,0.0,{},CLOSED_LOSS,-1050.0,-1050.0,,,,,,,,,,,MNQ_DAY,0,,,,,,,
2023-08-18 10:31:00,MNQ_DAY,BUY,14645.0,14645.0,0.0,10.0,,Grind_L,0.0,{},CLOSED_WIN,625.0,625.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-21 06:18:00,MCL,BUY,81.54,81.54,0.0,15.0,,Lon_Brk_L,0.0,{},CLOSED_LOSS,-1035.0,-1035.0,,,,,,,,,,,MCL,0,,,,,,,
2023-08-22 09:41:00,MNQ_DAY,SELL,15023.0,15023.0,0.0,8.0,,Ext_ORB_S,0.0,{},CLOSED_WIN,628.0,628.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-23 10:42:00,MNQ_DAY,BUY,15151.25,15151.25,0.0,13.0,,IB_L,0.0,{},CLOSED_WIN,624.0,624.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-25 09:49:00,MNQ_DAY,BUY,14935.5,14935.5,0.0,11.0,,AE_L,0.0,{},CLOSED_WIN,627.0,627.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-25 10:33:00,MES,BUY,4388.5,4388.5,0.0,13.0,,IB_Fade_L,0.0,{},CLOSED_LOSS,-1036.75,-1036.75,,,,,,,,,,,MES,0,,,,,,,
2023-08-29 09:46:00,MNQ_DAY,BUY,15156.5,15156.5,0.0,5.0,,Ext_ORB_L,0.0,{},CLOSED_WIN,630.0,630.0,,,,,,,,,,,MNQ_DAY,1,,,,,,,
2023-08-29 10:31:00,MES,BUY,4478.0,4478.0,0.0,15.0,,IB_L,0.0,{},CLOSED_WIN,622.5,622.5,,,,,,,,,,,MES,1,,,,,,,
